province;red;green;blue;x;x
1;165;63;0;Éssìkíe;x
2;127;76;76;Jirn;x
3;140;84;84;Yìrs Rokàh;x
4;153;91;91;Serrénes;x
5;165;99;99;Áevìndaron;x
6;127;90;16;Citòmùshòm;x
7;140;99;18;Virrenté;x
8;140;56;0;Vorrìeyn;x
9;114;45;0;Carrolìor;x
10;127;51;0;Anstrà;x
11;116;153;16;Isemémàer;x
12;106;140;14;Vèlzhàr;x
13;96;127;12;Sijílhéy;x
14;126;165;18;Èrsetu;x
15;136;178;19;Màrkoìla;x
16;148;191;21;Wymàlhéy;x
17;229;120;57;Ansolhéy;x
18;216;116;54;Tálin;x
19;191;102;47;Ìzarlìoréx;x
20;175;94;43;Kìnnáezhàr;x
21;229;193;34;Sàlamdad;x
22;242;204;36;Konùshòm;x
23;216;182;32;Nìslewód;x
24;204;172;30;Fáiravòn;x
25;191;161;28;Kàlonia;x
26;127;105;6;Alderén;x
27;89;72;4;Noín Lithrànòr;x
28;102;82;5;Rynór;x
29;114;94;5;Ngozi-Iteru;x
30;76;61;3;Ìzhár'Arràk;x
31;255;25;25;Prísma;x
32;229;22;22;Mount Àpasìril;x
33;242;24;24;Éatherkì;x
34;216;21;21;Shìkoìlad;x
35;102;10;10;Asávélhéy;x
36;114;11;11;Ìzhár'Arràk;x
37;89;8;8;Íl-Kabuli;x
38;127;12;12;Ondvyéra;x
39;105;38;255;Sararis;x
40;98;36;242;Beráe;x
41;92;34;229;Usu'tami;x
42;87;32;216;Sirobháy;x
43;140;108;216;Nikolyy;x
44;147;114;229;Lynna;x
45;155;121;242;Roaw'nòs;x
46;132;102;204;Hiroka'lani;x
47;29;53;193;Akàr'lyy;x
48;32;58;204;Akaroaw;x
49;34;61;216;Fordental;x
50;36;65;229;Aulirád;x
51;38;69;242;Ashtàli;x
52;255;38;226;Shiníe;x
53;242;36;214;Swal'àwz;x
54;229;34;203;Cyél;x
55;216;32;192;Lyàul;x
56;204;30;180;Illirae;x
57;191;28;169;Asylais;x
58;133;242;242;Erekemos;x
59;107;191;191;Snakes' Bend;x
60;126;229;229;Amos;x
61;119;216;216;Carmelior-Gulard;x
62;114;204;204;The Barrel;x
63;71;150;204;Ashei;x
64;66;139;191;Falir-Aufei;x
65;62;130;178;Sukrath;x
66;58;120;165;Cruelridge;x
67;15;153;153;Utal-Lugalad;x
68;13;137;137;Yadishel;x
69;16;165;165;Tarad-Elarae;x
70;17;178;178;Urnu-Arrak;x
71;19;191;191;Nur-Ulorah;x
72;104;51;127;Lower Deadwood;x
73;114;57;140;Upper Deadwood;x
74;124;62;153;The Last Bastion;x
75;134;67;165;The Biles;x
76;145;73;178;Buboel;x
77;127;17;178;Crosian Spires;x
78;136;19;191;Scab;x
79;145;20;204;Stitch;x
80;154;21;216;Wyldvarn;x
81;76;23;50;Jawbone;x
82;63;19;41;Yistun;x
83;89;27;59;Hornholm;x
84;114;35;76;Skullport;x
85;102;31;67;Grandett;x
86;127;39;86;Vasilbrazzt;x
87;165;58;59;Fellwind;x
88;153;53;54;Illsmirth;x
89;127;44;44;Banewood;x
90;140;49;49;Jomsbrag;x
91;114;40;40;Holmfirth;x
92;102;35;35;Makotur;x
93;89;31;31;Satukor;x
94;51;0;204;Brathanir;x
95;54;0;216;Groganir;x
96;57;0;229;Kromir;x
97;60;0;242;Alkomir;x
98;63;0;255;Urifaie;x
99;47;0;191;Dalkabalu;x
100;46;44;178;Lumne;x
101;43;41;165;Seythe;x
102;40;38;153;Eldal-Adadi;x
103;36;35;140;Bula'shet;x
104;33;31;127;Hennil;x
105;19;73;127;Sebeba;x
106;22;87;153;Broduli;x
107;24;95;165;Kai'ane;x
108;26;102;178;Dalatra's Tears;x
109;28;109;191;Urdavion;x
110;44;178;120;Zanada Jenalanesu;x
111;47;191;129;Dal-Wasusud;x
112;51;204;137;Ri-Jenalanesu Lene;x
113;41;165;111;Sanu-y'Jata;x
114;35;140;94;Nuri Jenalanesu;x
115;38;153;103;Jenuri;x
116;178;89;166;Ri-Esujhijewe;x
117;140;70;130;Ederai-Elnam;x
118;127;63;118;Avendar;x
119;153;76;142;Edrandar;x
120;165;82;154;Jebzije;x
121;160;178;160;Sura-Zamar;x
122;137;153;137;Pyriad;x
123;149;165;149;Bloodcoast;x
124;126;140;126;Akskai;x
125;204;171;132;Koidon;x
126;191;161;124;Eivespat;x
127;178;150;116;Drygrave;x
128;142;204;142;Foolgrave;x
129;151;216;151;Kainserez;x
130;160;229;160;Dustpass;x
131;116;165;116;Goatskull;x
132;124;178;124;Karkiru;x
133;133;191;133;Deyn;x
134;123;127;0;Eztanfi;x
135;162;165;0;Nikhazi;x
136;175;178;0;Zet-Serez;x
137;150;153;0;Kerasoat;x
138;135;137;0;Kerasved;x
139;202;204;102;Serepla;x
140;252;255;127;Yelado;x
141;230;232;116;Eliveshek;x
142;214;216;108;Uluki-Eshuvi;x
143;63;76;30;Kelern;x
144;74;89;35;Yissuviad;x
145;52;63;25;Dajina;x
146;42;51;20;Minson;x
147;127;64;25;Carp's Belt;x
148;114;58;22;Grizzlybear Bar;x
149;102;51;20;Aldira;x
150;89;45;17;Bruin;x
151;84;102;40;Nakothas;x
152;127;127;25;Ervantola;x
153;140;140;28;Alasuru;x
154;114;114;22;Verinar;x
155;102;102;20;Ayegefa;x
156;76;76;15;Ayesinco;x
157;89;89;17;Arrima;x
158;191;72;28;Dalkira;x
159;204;76;30;Asomo;x
160;178;67;26;Hakonales;x
161;167;64;24;Theiotokos;x
162;229;86;34;Dyspol;x
163;216;81;32;Anapar;x
164;140;42;84;Sancta;x
165;127;38;76;Durn-Akai;x
166;114;34;69;Sic-Akai;x
167;102;30;61;Klamos;x
168;89;26;53;Ammothalios;x
169;242;36;125;Evantlas;x
170;204;30;105;Oruda;x
171;226;34;117;Kiasta;x
172;216;32;112;Pelhars;x
173;191;28;99;Durrukos;x
174;204;67;74;Mingros;x
175;191;63;69;Ensulak;x
176;178;58;64;Selak;x
177;165;54;60;Nous-Il;x
178;216;134;211;Shilege;x
179;229;144;225;Vermillion Isle;x
180;242;152;237;Buzzelux;x
181;178;109;173;Maereta;x
182;191;118;186;Yistarol;x
183;204;126;198;Kraetal;x
184;204;10;147;Eltur-Shummar;x
185;191;9;139;Esgard;x
186;178;8;130;Awkos;x
187;165;8;121;Duskanos;x
188;204;204;102;Lourda;x
189;191;191;95;Aldnoa;x
190;178;178;89;Adu-Sadad;x
191;165;165;82;Talkis;x
192;165;125;82;Etgarim;x
193;178;135;89;Saval-Kharim;x
194;191;145;95;Hermitsedge;x
195;216;164;108;Zir-Qalman;x
196;204;156;102;Zir-Akir;x
197;153;153;76;Govos;x
198;127;127;63;Vestikos;x
199;140;140;70;Lithros;x
200;113;140;85;Melakgros;x
201;124;153;93;Gebel;x
202;143;178;107;Skithon;x
203;134;165;101;Rydquarry;x
204;155;191;116;Narakan;x
205;165;204;124;Kesmekan;x
206;109;165;49;Madrias;x
207;118;178;53;Driaspit;x
208;101;153;45;Alatiravi;x
209;92;140;42;Frekeravi;x
210;51;65;102;Rodéa;x
211;44;57;89;Mezzenéa;x
212;25;32;51;Moncheir;x
213;21;54;140;Lardouse;x
214;22;59;153;Villemel;x
215;13;34;89;Roscella;x
216;15;39;102;Casarrois;x
217;19;49;127;Hernedasse;x
218;17;44;114;Sang-Fisure;x
219;24;64;165;Evansyllo;x
220;74;51;165;Costaigne;x
221;79;55;178;Basse-Praèçe;x
222;68;47;153;Praestènne;x
223;62;43;140;Haute-Praèçe;x
224;89;63;204;Innetois;x
225;85;59;191;Arcalois;x
226;53;59;178;Granfort;x
227;57;64;191;Lansquèlle;x
228;61;70;204;Hemmendas;x
229;42;46;140;Liccendas;x
230;45;51;153;Lantois;x
231;49;55;165;Asalace;x
232;38;42;127;Laïçest;x
233;67;123;165;Ramoucanne;x
234;73;132;178;Argvennes;x
235;78;142;191;Ythenne;x
236;62;113;153;Raevenne;x
237;52;94;127;Médicannes;x
238;57;104;140;Morvanne;x
239;178;30;30;Sirasthenak;x
240;165;28;28;Ilivian;x
241;153;26;26;Rowunrùa;x
242;204;34;34;Althivir;x
243;191;32;32;Verika;x
244;140;23;23;Azethvir;x
245;127;21;21;Omverlon;x
246;178;89;89;Asourtherak;x
247;165;82;82;Dalkar;x
248;153;76;76;Namarrak;x
249;191;95;95;Kasthilan;x
250;204;102;102;Rodheros;x
251;229;114;114;Parthak;x
252;216;108;108;Ritharrak;x
253;204;102;71;Kalasirol;x
254;191;95;66;Maqetverga;x
255;204;89;118;Gerianarsh;x
256;216;95;125;Kaladonn;x
257;191;84;110;Myrmark;x
258;178;78;103;Karnalóth;x
259;165;72;96;Myanthiron;x
260;153;67;88;Thelisverhal;x
261;151;151;178;Lunarwoods;x
262;162;162;191;Meydan;x
263;107;204;63;Greatdens;x
264;121;229;71;Noranama;x
265;114;216;67;Noúmarsa;x
266;101;191;59;Eânama;x
267;114;216;86;Soranama;x
268;121;229;91;Kuclela;x
269;128;242;96;Revaria;x
270;108;204;81;Talarsa;x
271;101;191;76;Sakothýr;x
272;94;178;71;Rethýzar;x
273;87;165;66;Mimir's Pride;x
274;66;165;137;Terathí;x
275;61;153;126;Narosivaii;x
276;71;178;148;Exakunir;x
277;76;191;158;Carasínva;x
278;81;204;169;Sivanarrai;x
279;86;216;179;Levýatanna;x
280;91;229;190;Kair'arkós;x
281;255;76;76;Verryon;x
282;242;72;72;Markyar;x
283;229;68;68;Inabnal;x
284;216;65;65;Teldikal;x
285;204;61;61;Athazolant;x
286;191;57;57;Inthar;x
287;178;53;53;Taztain;x
288;165;49;49;Hraam;x
289;163;57;150;Dazvel;x
290;178;62;164;Baronos;x
291;191;66;176;Eyeless Monastery;x
292;204;71;188;Tálor;x
293;216;75;200;Vortakor;x
294;229;80;212;Kordora;x
295;102;25;93;Wispil;x
296;114;28;104;Pezil;x
297;140;35;127;Azil;x
298;153;38;139;Serifil;x
299;47;110;153;Mêlereth;x
300;55;127;178;Kolossata;x
301;59;136;191;Saerelma;x
302;63;145;204;Thousand Isles;x
303;65;153;216;Tornársa;x
304;49;74;216;Aeuron;x
305;46;70;204;Aeryrith;x
306;38;57;165;Crýparsa;x
307;41;61;178;Kair'ater;x
308;43;66;191;Damathera;x
309;11;30;127;Azalóth;x
310;12;33;140;Karnamaer;x
311;13;36;153;Voiceless Peaks;x
312;58;75;165;Antasmór;x
313;62;81;178;Saýarsa;x
314;53;70;153;Arstedanna;x
315;49;64;140;Talantýnna;x
316;59;158;125;Kaithrat;x
317;44;57;127;Veralýa;x
318;8;20;89;Vernaý;x
319;9;23;102;Altýs;x
320;6;17;76;Kaýr'vern;x
321;10;27;114;Cara-Lapidosa;x
322;165;83;58;Larokin;x
323;178;89;62;Noukisher;x
324;38;105;153;Anceverta;x
325;41;113;165;Asturcia;x
326;44;122;178;Valteysia;x
327;47;131;191;Griffinview;x
328;51;140;204;Griffinkeep;x
329;57;157;229;Verroryia;x
330;54;149;216;Farranto;x
331;242;96;96;Tarizza;x
332;178;71;71;Ravenito;x
333;255;102;102;Porte Ravenus;x
334;229;91;91;Rumus;x
335;216;86;86;Gretra;x
336;204;81;81;Saios;x
337;191;76;76;Zaun;x
338;179;216;86;Aston;x
339;169;204;81;Patrija-Anatur;x
340;158;191;76;Patrija-Vastur;x
341;137;165;66;Illyrix;x
342;126;153;61;Inades;x
343;116;140;56;Birge;x
344;148;178;71;Kvitbyr;x
345;204;81;51;Plantisola;x
346;255;106;62;Dragolitore;x
347;242;99;60;Dragospiro;x
348;229;94;57;The Forge;x
349;216;89;54;Stensta;x
350;178;71;44;Demosavillo;x
351;193;77;48;Lepurra;x
352;204;175;51;Blackstone Keep;x
353;216;186;54;Vasiru;x
354;255;223;63;Nalcopt;x
355;191;164;47;Voulonios;x
356;178;153;44;Kynoso;x
357;242;211;60;Dønsktopt;x
358;229;200;57;Selintragou;x
359;165;117;49;Anakynos;x
360;178;126;53;Pantra;x
361;204;144;61;Mitsurios;x
362;191;135;57;Synertudista;x
363;127;90;38;Carvay;x
364;153;108;45;Helparral;x
365;140;99;42;Jeolban;x
366;178;62;62;Waahi;x
367;153;53;53;Nisia Gatas;x
368;165;58;58;Venlora;x
369;191;66;66;Kota Mewah;x
370;204;71;71;Chapeco;x
371;216;75;75;Metekelo;x
372;178;150;142;Espar;x
373;165;139;132;Tainva;x
374;204;172;163;Antuna;x
375;191;161;153;Tantrola;x
376;153;129;122;Atlahua;x
377;178;148;89;Liodbar;x
378;153;128;76;Veridon;x
379;191;159;95;Escrir;x
380;91;153;132;Sioc;x
381;84;140;122;Vartica;x
382;76;127;111;Cramdil;x
383;99;165;143;Telakela;x
384;42;140;109;Gijor;x
385;38;127;99;Paskor;x
386;34;114;89;Praesidium;x
387;30;102;80;Agriana;x
388;178;39;5;Ekesttori;x
389;165;37;4;Epansul;x
390;153;34;4;Esonrul;x
391;140;31;4;Drom Woods;x
392;127;28;3;Aennveres;x
393;87;127;48;Asenrel;x
394;79;114;43;Mivirn;x
395;70;102;38;Shaiaven;x
396;105;153;58;Rosikan;x
397;96;140;53;Thadeti;x
398;114;165;62;Atkesi Marsh;x
399;204;20;139;Lubonan;x
400;216;21;148;Uretisul;x
401;229;22;157;Iro Marefar;x
402;242;24;165;Selten;x
403;255;25;174;Kirder;x
404;191;19;131;Ondemare;x
405;127;112;108;Oogleron;x
406;140;123;119;Orraeoft Plateau;x
407;153;134;130;Arce Marefar;x
408;165;145;140;Orraen;x
409;178;157;151;Zatrul;x
410;229;164;151;Miaran;x
411;216;155;143;Trilon;x
412;204;146;134;Inelle;x
413;191;137;126;Torsi Woods;x
414;178;127;117;Farremar;x
415;7;63;58;Trayalin;x
416;9;76;69;Raykara;x
417;12;102;93;Golhain;x
418;10;89;81;Morthen;x
419;13;114;104;Dreshan;x
420;15;127;116;Erdesam;x
421;16;140;127;Sylporos;x
422;27;100;153;Solythus;x
423;25;92;140;Ekkest;x
424;23;84;130;Ekona;x
425;34;125;191;Rostrin;x
426;32;117;178;Baun;x
427;29;109;165;Serilrie;x
428;108;86;191;Miuran;x
429;116;91;204;Mésul;x
430;94;74;165;Usluken;x
431;101;80;178;Sulren;x
432;72;57;127;Miveren;x
433;87;68;153;Corthaidh;x
434;79;63;140;Daur Falon;x
435;32;140;77;Ikakonn;x
436;35;153;84;Rensaise;x
437;26;114;63;Wacesattie;x
438;23;102;56;Alessadrea;x
439;29;127;70;Vanelsul;x
440;81;140;106;Lostesrei;x
441;88;153;116;Sekatsul;x
442;73;127;97;Meruvia Sinnen;x
443;96;165;126;Auramet;x
444;103;178;136;Eldvarnor;x
445;110;191;145;Lokaith;x
446;99;216;67;Sareen;x
447;82;178;55;Mount Yadram;x
448;76;165;51;Kitre Falon;x
449;70;153;47;Kazer Undurltiven;x
450;64;140;43;Kallitz;x
451;57;127;39;Unemsil;x
452;87;191;59;Khuli Tsegee;x
453;93;204;63;Kakhe Tumree;x
454;178;131;12;Onoseld;x
455;191;140;13;Ekenu;x
456;132;98;8;Lotefih;x
457;140;103;9;Kalei;x
458;153;112;10;Matrost;x
459;165;122;11;Ukorval Islands;x
460;27;153;54;Amis Iselaneo;x
461;32;178;63;Zatride;x
462;34;191;68;Astreve;x
463;29;165;59;Warival;x
464;25;140;50;Metval;x
465;22;127;45;Selamei;x
466;20;114;41;Prilsa;x
467;80;7;153;Maraenn;x
468;93;8;178;Mudlisen;x
469;107;10;204;Tseverlij Shmigu;x
470;113;10;216;Talbinu;x
471;87;8;165;Undrlu Saral;x
472;100;9;191;Tublaavim;x
473;153;120;55;Nuntagala;x
474;165;130;59;Urdurchin;x
475;178;140;64;Kutbash;x
476;191;150;68;Kralli;x
477;229;180;82;Dorreste;x
478;204;160;73;Odzun;x
479;216;170;78;Amelykalb;x
480;153;116;30;Manþor;x
481;140;106;28;Neidkoþ;x
482;127;96;25;Alkansadare;x
483;114;87;22;Kaz-Toþol;x
484;82;0;127;Arul-Hir;x
485;127;0;191;Beþenk-dum;x
486;93;0;140;Tarnok;x
487;102;0;153;Noìchái;x
488;110;0;165;Khuzelbrost;x
489;145;61;153;Fraldinbad;x
490;155;66;165;Dhaz-Þumdr;x
491;133;56;140;Darnok-Korn;x
492;167;71;178;Ashmore;x
493;178;35;45;Birþel-vhal;x
494;165;33;41;Óindimr;x
495;153;30;38;Yanardulim;x
496;140;28;35;Nis-Arkhall;x
497;127;25;32;Yavozukr;x
498;165;59;119;Tyr-Wahat;x
499;178;64;128;Isakumu;x
500;153;55;110;Rsindu;x
501;140;50;101;Kynaksarl;x
502;125;44;89;Talbkuzu;x
503;33;153;153;Modguzul;x
504;36;165;165;Kah;x
505;39;178;178;Arulai;x
506;42;191;191;Khunsar;x
507;44;204;204;Tolguclu;x
508;67;127;102;Miedwesto;x
509;60;114;92;Mount Onnran;x
510;74;140;112;Onnran Plateau;x
511;81;153;123;Ektor Sylrenn;x
512;178;39;69;Ehrivesr;x
513;191;42;74;Omoielos;x
514;204;44;79;Okem Plateau;x
515;216;47;84;Upok Attor;x
516;229;50;89;Aurlu;x
517;242;53;94;Zemii;x
518;114;90;55;Orrandei;x
519;127;100;61;Ezylren;x
520;140;110;68;Rage;x
521;153;120;74;Mijotahl;x
522;165;130;81;Silvaren;x
523;178;140;87;Karwachtia;x
524;178;73;21;Vorpsyl;x
525;191;76;22;Kijar Pass;x
526;165;68;19;Avlum;x
527;153;63;18;Sorunval;x
528;114;45;13;Niritalfel;x
529;140;57;16;Kalefal;x
530;127;52;15;Luvaeanna;x
531;59;123;165;Ardekech;x
532;73;151;204;Otorme;x
533;68;142;191;Warifreit;x
534;64;132;178;Lynn;x
535;55;113;153;Aklerei;x
536;82;178;26;Dorosazenta;x
537;76;167;24;Serruda;x
538;88;191;28;Virna;x
539;203;216;99;Sylas;x
540;191;204;93;Stiresei;x
541;179;191;87;Visarei;x
542;168;180;82;Miedarq;x
543;106;166;175;Arventor;x
544;116;182;191;Lauralor;x
545;139;219;229;Iskai;x
546;147;231;242;Virnele;x
547;124;194;204;Kaidera;x
548;132;206;216;Ekeren;x
549;22;153;144;Wisren;x
550;21;140;132;Marletto;x
551;19;127;120;Soltrebog;x
552;17;114;108;Wynbog;x
553;13;89;55;Jatswyn;x
554;15;102;62;Kierke;x
555;19;127;78;Chesval;x
556;17;114;70;Wyngale;x
557;204;135;38;Antrenn;x
558;178;118;33;Weirit;x
559;191;126;36;Arcrei;x
560;165;109;31;Kleizem;x
561;105;37;114;South Arelyre;x
562;152;54;165;North Arelyre;x
563;117;42;127;Domasarl;x
564;141;50;153;Kalsyl;x
565;129;46;140;Rhokan;x
566;41;123;178;Insuried;x
567;38;114;165;Onaqyl;x
568;43;132;191;Naijuin;x
569;46;141;204;Falsenn;x
570;55;167;242;Zatrkrai;x
571;58;176;255;Normareik;x
572;52;158;229;Maestrenn;x
573;49;149;216;Lieriede;x
574;117;178;57;Locet;x
575;109;165;53;Zemkarst;x
576;84;127;40;Passaviam;x
577;74;114;36;Gimmaen;x
578;92;140;44;Sriveris;x
579;100;153;48;Tesaq;x
580;99;137;178;Ferlesei;x
581;107;147;191;Qrylren;x
582;92;128;165;Qradlei;x
583;85;118;153;Osarma;x
584;161;165;41;Natsor;x
585;149;153;38;Vastlai;x
586;174;178;44;Neurûn;x
587;198;204;51;Soralai Woods;x
588;186;191;47;Flamiqaz;x
589;211;216;54;Vorpesaen;x
590;128;86;145;Sorunoft;x
591;134;91;153;Iraesto;x
592;145;99;165;High Soralai;x
593;157;107;178;Akinne;x
594;168;114;191;Drakhasrei;x
595;165;91;71;Torsafer;x
596;153;84;65;Aulai Plains;x
597;140;78;60;Siaflum;x
598;127;71;54;Anrage;x
599;38;33;33;Aldiste;x
600;25;22;22;Auberei;x
601;51;44;44;Lileanen;x
602;63;56;56;Zanmirth;x
603;127;111;29;Tessel;x
604;140;122;32;Zanostre;x
605;153;133;35;Vitbon;x
606;165;144;38;Eraziirenn;x
607;178;155;41;Cacaen;x
608;21;165;93;Rieds;x
609;19;153;86;Etazenn;x
610;23;178;100;Qazisred;x
611;24;191;108;Sercantei;x
612;26;204;115;Morveival;x
613;28;216;122;Ondastahl;x
614;88;203;216;Arce Gentumar;x
615;83;191;204;East Soralai;x
616;78;179;191;West Soralai;x
617;73;167;178;Soleanna;x
618;67;153;164;Ascension;x
619;94;215;229;Darilais;x
620;191;66;47;Mt. Gentumar;x
621;204;71;51;Canci Zabtrij;x
622;178;62;44;Madupel;x
623;163;57;40;Attomed;x
624;150;52;37;Sorrun Mifirt;x
625;178;166;30;Kalvirra;x
626;165;154;28;Sirrlai;x
627;153;142;26;Irabella Plains;x
628;140;130;23;Litoci;x
629;73;7;153;Nekerei;x
630;66;7;140;Veraseer;x
631;60;6;127;Delgrenzvar;x
632;54;5;114;Riemed;x
633;48;5;102;Astareviam;x
634;229;173;68;Flammastahl;x
635;216;163;65;Volressal;x
636;204;154;61;Falssalien;x
637;191;146;57;Junea;x
638;178;136;53;Sylaenn;x
639;165;127;49;Serrelai;x
640;165;96;134;Vor-en-Vorpes;x
641;178;103;144;Fufinirq;x
642;191;110;155;Eraittori;x
643;204;118;165;Annuvin;x
644;216;125;175;Fidarei;x
645;153;88;124;Numetrea;x
